TimeStamp,Time (s),Voltage (V),Current (A),Power (W)
13:54:35,0.004,0,0,0
13:54:36,1.015,0,0,0
13:54:37,2.036,0,0,0
13:54:38,3.048,0,0,0
13:54:39,4.059,0,0,0
13:54:40,5.067,0,0,0
13:54:41,6.102,0,0,0
13:54:42,7.113,0,0,0
13:54:43,8.126,0,0,0
13:54:44,9.159,0,0,0
13:54:45,10.169,0,0,0
13:54:46,11.177,30,0.551,16.524
13:54:47,12.187,30,0.551,16.524
13:54:48,13.221,30,0.551,16.524
13:54:49,14.229,30,0.551,16.524
13:54:50,15.241,30,0.551,16.524
13:54:51,16.257,30,0.551,16.524
13:54:52,17.268,30,0.551,16.524
13:54:53,18.275,30,0.551,16.524
13:54:54,19.285,30,0.551,16.524
13:54:55,20.322,30,0.551,16.524
13:54:56,21.329,30,0.551,16.524
13:54:57,22.34,30,0.551,16.524
13:54:58,23.381,30,0.551,16.524
13:54:59,24.39,30,0.551,16.524
13:55:00,25.402,30,0.551,16.524
13:55:02,26.439,30,0.551,16.524
13:55:03,27.447,30,0.551,16.524
13:55:04,28.454,30,0.551,16.524
13:55:05,29.498,30,0.551,16.524
13:55:06,30.508,30,0.551,16.524
13:55:07,31.519,30,0.551,16.524
13:55:08,32.535,30,0.551,16.524
13:55:09,33.546,30,0.551,16.524
13:55:10,34.554,30,0.551,16.524
13:55:11,35.561,30,0.551,16.524
13:55:12,36.6,30,0.551,16.524
13:55:13,37.607,30,0.551,16.524
13:55:14,38.619,30,0.551,16.524
13:55:15,39.659,30,0.551,16.524
13:55:16,40.667,30,0.551,16.524
13:55:17,41.677,30,0.551,16.524
13:55:18,42.717,30,0.551,16.524
13:55:19,43.737,30,0.551,16.524
13:55:20,44.747,30,0.551,16.524
13:55:21,45.794,30,0.551,16.524
13:55:22,46.803,30,0.551,16.524
13:55:23,47.813,30,0.551,16.524
13:55:24,48.852,30,0.551,16.524
13:55:25,49.86,30,0.551,16.524
13:55:26,50.872,30,0.551,16.524
13:55:27,51.911,30,0.551,16.524
13:55:28,52.921,30,0.551,16.524
13:55:29,53.932,30,0.551,16.524
13:55:30,54.946,30,0.551,16.524
13:55:31,55.957,30,0.551,16.524
13:55:32,56.967,30,0.551,16.524
13:55:33,57.984,30,0.551,16.524
13:55:34,58.995,30,0.551,16.524
13:55:35,60.005,30,0.551,16.524
13:55:36,61.013,30,0.551,16.524
13:55:37,62.053,30,0.551,16.524
13:55:38,63.063,30,0.551,16.524
13:55:39,64.074,30,0.551,16.524
13:55:40,65.112,30,0.551,16.524
13:55:41,66.124,30,0.551,16.524
13:55:42,67.135,30,0.551,16.524
13:55:43,68.171,30,0.551,16.524
13:55:44,69.182,30,0.551,16.524
13:55:45,70.194,30,0.551,16.524
13:55:46,71.229,30,0.551,16.524
13:55:47,72.238,30,0.551,16.524
13:55:48,73.247,30,0.551,16.524
13:55:49,74.263,30,0.551,16.524
13:55:50,75.274,30,0.551,16.524
13:55:51,76.286,30,0.551,16.524
13:55:52,77.303,30,0.551,16.524
13:55:53,78.313,30,0.551,16.524
13:55:54,79.322,30,0.551,16.524
